window_id,mean_hr,std_hr,rmssd,RR
1,26.944674474191928,30.54799131651711,38.332782291851025,
2,38.73704859939745,33.701879833885776,49.60273121822137,
3,29.023295712034017,29.286552526575118,40.813786786322616,
4,20.942388826067386,10.002170308788322,20.887033784890008,
7,59.23646302115769,44.461016163991246,56.933125937302606,
8,51.679174635336544,39.107602320049075,63.231830205574155,
9,53.373741036461524,39.41180092892512,67.44057040837532,
10,39.7468628013304,25.63102957360136,31.32075911625979,
11,55.432829969376144,42.827715333583384,61.71164678931036,
12,54.37025864856809,44.3503661557909,59.976328116975154,
13,37.776262301784826,29.656695501274005,35.71534754429389,
14,28.30720861071805,23.148053205495806,31.077150349169912,
15,21.204983481837235,20.64309561558672,17.490308631959007,
16,61.26597730775741,25.633583189967283,48.41340433401163,
17,20.888126043710354,18.511870377756335,32.67867822617212,
18,47.550296592647385,39.73889253530549,53.50348833188358,
21,40.88507153260558,45.218791650645514,57.58667403958184,
22,43.02140561594946,36.708869338233924,44.10734038284949,
28,39.62978371427381,41.33808320015545,70.0957912962475,
30,48.79992151048425,37.65036977066516,65.52537716502097,
31,40.82501063155149,48.14200149712282,77.39538466848204,
32,35.44372141919383,24.203210474470467,32.472599377627205,
33,55.52217994140241,42.527590415307806,63.938498715331235,
34,46.99875218601446,36.19373442693502,59.36058987434948,
35,56.10087436915588,39.42585051506893,60.285411944257035,
36,64.2213106156811,41.094522202105196,58.53783169140907,
37,57.031051128125064,37.421330271388705,53.5486968007815,
38,64.8652734879525,48.667000401153494,63.958446261589195,
39,52.32742007371752,44.47185594941901,63.932810878209736,
40,60.79135607190776,40.63611014386846,55.642210288055,
41,48.09667229112331,36.520161447471246,53.765144380129755,
42,59.68648476063354,43.883624310410575,60.06656109533195,
43,39.82602669120099,41.39361906516558,53.259946231281695,
44,32.93564913254423,41.32362286543908,62.001755511387486,
45,22.05458020368994,24.950343368106463,29.209696946505137,
46,37.35168981002829,41.69044857383176,69.88283719823984,
47,22.536735676949412,21.196630680129434,27.93198331309221,
48,42.2861649603253,36.70051268720768,64.8485797888853,
49,15.762869580947122,11.541494994774967,12.326349646736636,
50,35.86309256740065,33.70081065038979,41.67010142782531,
51,34.96794902602133,36.52360229397762,33.17874495352582,
52,22.366528085449897,26.778539271554063,30.184624512060843,
53,33.82242506665126,24.833195510696715,38.30235777469,
58,34.44685901574972,39.02601834898615,51.08990231386035,
61,10.593237475412854,5.2489621624804,6.417951890378075,
62,27.312777484062387,25.342362158824507,39.53798083860975,
63,31.116198208564214,25.294234841633653,31.47116828267277,
64,26.10955218925448,18.703556233695927,31.564848760536155,
65,17.231489610027435,11.794862837539474,15.488826973066692,
69,21.489023110693896,11.978149783105822,15.015626828243754,
71,31.606693007188838,22.979028854654402,32.833870778346224,
72,52.59501193441455,44.903302037703305,50.28173998248611,
73,42.68428233878166,51.48207218806077,109.10368129732271,
74,41.38024074149755,40.285871288094306,77.09192810883256,
76,22.770606065828083,20.878122572620537,27.44723509600733,
77,40.29943673181108,48.18529409813738,68.95287047045576,
78,45.32633450769391,38.671356215636564,53.77609639227417,
79,40.404491429750756,35.65636036645628,52.74520435900244,
80,41.94490535713439,36.56843466068531,50.158410518607646,
81,10.974595720779275,6.4240696736409655,13.541413636552251,
87,34.36880200687246,46.74325940056296,60.735228751882474,
88,21.703809854619283,9.728991578166632,15.514618041042363,
92,14.01907891292385,10.29441066443843,8.895752608398233,
93,46.909746553927796,36.865869259749786,57.2032412629729,
94,42.81943995785694,44.87619651778861,75.13994367096501,
100,41.61295628095152,29.972810641105394,44.58014061646372,
101,32.509368253946455,44.74927286639704,34.049576322388965,
102,40.53794428723954,25.73031383645893,38.57618143013202,
103,26.832395619308354,18.381058147406712,29.14020761649847,
105,32.23616185681693,27.219316691332928,33.63758853724984,
106,39.28948500651691,33.21301147514919,42.16898292639421,
107,46.30800246602313,54.570436962396506,79.63921403708727,
109,64.82590493095404,56.738145373893886,77.04820479809835,
110,43.096446641705704,43.0014466879721,54.221742806688,
111,50.80051260050496,42.95703056393271,74.38447066015219,
112,52.12162482471831,39.154431769025464,64.06933390155093,
113,24.99099568270556,33.42637247451971,56.6984454306526,
114,38.16025786364798,26.254723739061554,47.95137576919032,
115,34.11025901585895,25.78338738557267,40.25143129638349,
116,48.01346513844394,43.15271929280644,53.300427193410684,
117,45.78641346164937,52.484509367635205,77.95828345052114,
119,43.69914956792573,41.568148812021896,77.41042632455255,
